Serving RSRP_All Logs,Serving RSRQ_All Logs,Serving RSSI_All Logs,Serving PCC SINR_All Logs,Serving DL EARFCN_All Logs,PCC PHY Throughput DL_All Logs,PDCP Throughput DL_All Logs
-70.77,-8.66,-48.02,7.83,1876,8737.41,7204.2
-72.4,-10.56,-47.17,4.95,1876,6969.09,5073.57
-71.32,-10.13,-47.11,5.65,1876,3874.06,2846.46
-69.92,-9.62,-46.18,6.95,1876,5575.82,5308.1
-72.43,-10.3,-47.74,4.28,1876,6114.99,3678.47
-68.54,-9.76,-44.54,8.24,1876,2498.54,3873.23
-66.55,-8.61,-43.72,11.26,1876,7904.68,8240.96
-67.85,-9.51,-44.08,9.38,1876,8380.01,6571.02
-67.97,-9.35,-44.36,9.82,1876,8674.93,6838.21
-77.04,-11.89,-50.37,1.46,1876,6563.22,3202.8
-76.67,-10.02,-52.24,2.75,1876,1554.75,1206.31
-75.83,-9.92,-51.84,5.35,1876,4816.22,5167.7
-77.38,-11.62,-51.41,-0.3,1876,4897.7,2234.3
-72.19,-9.11,-48.82,5.86,1876,2658.24,4586.64
-69.87,-7.98,-47.25,9.93,1876,6652.67,6137.42
-72.55,-9,-49.36,8.43,1876,8312.41,6907.9
-70.34,-8.94,-47.12,10.2,1876,6022.93,5561.74
-66.64,-8.48,-44.13,13.35,1876,8479.56,8910.39
-64.57,-8.89,-41.65,13.31,1876,11027.32,10170.67
-65.89,-9.45,-42.18,10.08,1876,9950.74,8300.1
-67.39,-9.97,-42.97,6.39,1876,8837.36,6826.23
-71.26,-10.86,-45.7,3.19,1876,7755.97,4853.23
-68.52,-11.14,-43.15,2.01,1876,4091.35,2030.76
-62.82,-9.25,-39.49,8.45,1876,5074.72,3769.43
-64,-9.96,-39.95,7.66,1876,6602.23,5699.18
-69.28,-9.16,-46.02,7.33,1876,5574.24,3238.17
-69.3,-8.54,-46.73,12.31,1876,10867.3,10031.35
-69.1,-10.2,-44.87,4.59,1876,7940.93,5694.46
-68.95,-9.56,-45.01,7,1876,4084.93,4263.28
-64.6,-9.25,-41.22,10.93,1876,7756.5,7281.02
-61.62,-9.39,-38.09,11.62,1876,9574.09,8782.74
-61.24,-9.88,-37.33,8.79,1876,9732.11,7140.63
-61.67,-9.46,-38.12,12.53,1876,7840.61,9275.19
-62.85,-9.21,-39.63,14.96,1876,10845.08,8535.77
-67.07,-9.77,-43.27,10.54,1876,10428.94,10079.14
-70.02,-9.18,-46.54,9.47,1876,8555.1,5969.45
-71.32,-9.56,-47.62,8.17,1876,11094.32,8143.48
-70.59,-9.63,-46.74,7.37,1876,8125.11,6431.57
-65.13,-9.26,-41.75,10.81,1876,9030.59,9944.81
-61.89,-9.24,-38.57,13.46,1876,10820.52,9183.38
-62.26,-9.31,-38.88,14.41,1876,10271.56,9887.43
-65.15,-9.45,-41.61,9.4,1876,11191.85,7346.44
-67.72,-9.88,-43.6,6.62,1876,6759.02,5471.86
-68.88,-9.88,-44.97,6.24,1876,5863.77,4766.42
-65.79,-9.17,-42.56,11.96,1876,6339.15,8148.58
-67.59,-9.4,-44.11,11.22,1876,10195.09,7872.64
-69.07,-9.35,-45.67,8.35,1876,9604.74,7929.25
-67.63,-9.28,-44.23,10.77,1876,9012.06,10251.69
-68.2,-8.74,-45.2,11.24,1876,11772.59,10525.54
-68.09,-8.61,-45.26,12.13,1876,12271.44,10604.4
-69.38,-8.4,-46.63,10.35,1876,10590.46,9490.54
-66.88,-8.55,-43.99,11.59,1876,10973.25,9653
-67.86,-9.07,-44.75,11.15,1876,11291.71,9434.95
-66.37,-8.99,-43,10.86,1876,9752,9046.18
-67.39,-9.08,-44.16,11.06,1876,9716.35,7889.58
-73.41,-9.97,-49.13,4.99,1876,5889.02,2860.53
-71.75,-9.66,-47.69,5.76,1876,6445.03,4591.23
-72.43,-10.11,-47.92,4.99,1876,5272.86,4631.9
-70.97,-9.6,-47.1,8.25,1876,6926.81,6081.52
-72.06,-10.8,-47.09,3.88,1876,6183.1,5255.05
-64.38,-9.61,-40.15,13.31,1876,1797.45,1923.95
-65.2,-9.12,-41.95,14.92,1876,10698.9,6210.12
-66.64,-9.04,-43.48,15.22,1876,11812.02,5706.35
-65.33,-8.97,-42.32,15.56,1876,9788.68,5205.64
-66.6,-9.16,-43.42,12.05,1876,10397.74,5669.59
-69.72,-9.42,-46.16,8.89,1876,9590.13,5433.93
-70.66,-9.3,-47.25,7.9,1876,9391.85,3694.04
-69.32,-9.08,-46.17,10.11,1876,8086.95,3923.33
-72.44,-9.56,-48.54,9.33,1876,7424.11,3769.72
-72.17,-9.3,-48.84,9.76,1876,7405.39,3756.38
-74.45,-10.73,-49.66,5.67,1876,6433.5,2198.79
-77.48,-11.53,-51.81,1.7,1876,4166.48,1314.46
-75.3,-9.51,-51.49,2.03,1876,194,28.14
-76.73,-9.87,-52.77,6.98,1876,5224.08,3392.43
-81.01,-11.42,-55.25,3.21,1876,3604.42,2958.23
-81.2,-11.15,-55.83,2.51,1876,3262.48,2146.5
-82.88,-10.96,-57.64,0.54,1876,2951.74,2388.67
-81.06,-10,-56.91,4.53,1876,2041.68,2207.71
-82.3,-10.38,-57.85,2.2,1876,5397.67,4080.07
-83.9,-10.11,-59.58,2.21,1876,4104.85,3242.77
-82.05,-10,-57.96,2.54,1876,2394.37,1487.35
-76.38,-8.72,-53.36,9.7,1876,5151.92,5825.07
-77.79,-9.48,-54.09,6.64,1876,7488.81,6012.43
-77.11,-9.2,-53.66,6.98,1876,5965.5,5883.99
-75.81,-9.07,-52.52,9.85,1876,8376.98,7675.99
-74.12,-8.82,-51.2,13.55,1876,10457.86,10699.5
-76.48,-8.7,-53.62,12.43,1876,11494.01,10024.66
-76.91,-7.83,-54.66,12.06,1876,10656.03,7886.19
-77.27,-7.8,-54.76,15.32,1876,9887.92,6633.78
-74.98,-8.17,-52.59,14.81,1876,10877.25,10593.64
-74.01,-8.57,-51.11,13.2,1876,11538.6,9085.74
-76.21,-8.22,-53.68,13.48,1876,8950.94,8914.45
-75.05,-8.48,-52.35,15.8,1876,12803.49,11587.98
-73.08,-8.76,-50.13,17.43,1876,14617.01,13518.71
-76.35,-8.05,-53.94,14.7,1876,15341.46,12448.17
-79.52,-8.42,-56.72,11.77,1876,10652.46,8675.63
-78.68,-8.27,-56.13,11.91,1876,8486.35,8154.55
-80.14,-8.07,-57.65,13.32,1876,11470.55,10160.4
-80.83,-7.89,-58.54,12,1876,10354.05,8870.12
-80.54,-8.32,-58.04,12.98,1876,10462.97,10068.61
-73.73,-8.3,-51.11,16.01,1876,12894.37,10863.76
-74.13,-8.71,-51.32,19.28,1876,12776.94,15641.77
-77.5,-8.31,-54.95,17.49,1876,21656.75,17327.32
-78.88,-8.73,-55.68,15.8,1876,18091.78,13180.89
-76.74,-8.31,-54.15,16.21,1876,9724.68,6300.95
-73.72,-8.65,-50.86,19.11,1876,16425.38,13936.3
-75.07,-8.57,-52.33,18.84,1876,17744.96,6494.58
-80.27,-8.75,-57.36,14.8,1876,11176.87,9995.26
-83.5,-9.01,-60.37,13.01,1876,11282.98,8966.83
-84.16,-8.9,-61.11,11.29,1876,8433.54,7868.79
-84.47,-9.08,-61.21,8.19,1876,10458.4,8081.85
-82.61,-9.06,-59.26,9.6,1876,6745.02,6584.63
-83.37,-9.46,-59.84,8.46,1876,8114.63,3556.24
-82.91,-9.34,-59.44,10.19,1876,6278.69,6799.11
-81.26,-8.48,-58.54,13.42,1876,9974.12,6661.52
-81.5,-8.85,-58.32,13.31,1876,9119.69,4049.53
-82.3,-8.44,-59.69,11.91,1876,7235.37,3347.49
-82.04,-8.58,-59.2,14.74,1876,7489.26,3818.64
-83.72,-8.64,-60.96,11.6,1876,11085.76,3138.27
-82.32,-8.96,-59,11.99,1876,8202.77,3058.09
-80.82,-9.04,-57.67,12.78,1876,9733.96,3853.15
-82.8,-9.07,-59.63,10.95,1876,8639.24,3184.93
-84.1,-8.88,-60.9,9.78,1876,6837.07,2734.95
-83.4,-8.77,-60.54,11.01,1876,6160.89,2780.95
-83.42,-8.98,-60.17,11.13,1876,10991.16,2876.78
-83.31,-8.93,-60.28,11.69,1876,6207.36,3118.45
-79.11,-9.09,-55.89,15.99,1876,9549.5,5885.35
-81.03,-9.04,-57.84,14.98,1876,11746.31,5323.27
-84.05,-8.93,-60.97,13.41,1876,10379.88,6089.64
-83.09,-9.18,-59.86,13.43,1876,10401.64,6205.38
-83.24,-9.09,-60.07,13.4,1876,10920.9,9819.18
-81.94,-8.8,-59.06,15.49,1876,11283.82,10447.3
-82.63,-8.91,-59.63,13.98,1876,11399.55,9870.57
-81.14,-8.78,-58.23,15.99,1876,8181.9,5966.05
-82.33,-8.96,-59.24,14.77,1876,11736.99,9861.23
-81.98,-8.83,-59.06,16.28,1876,10969.45,8105.94
-82.43,-8.86,-59.49,14.36,1876,9547.17,5004.19
-85.32,-8.79,-62.32,11.89,1876,7236.52,3741.37
-83.79,-8.74,-61.01,12.99,1876,7671.03,4655.9
-84.62,-8.68,-61.79,13.92,1876,9037.71,5186.95
-85.22,-8.71,-62.36,13.41,1876,8737.25,4238.26
-83.71,-9.06,-60.58,14.87,1876,8477.97,5112.17
-86.86,-9.38,-63.43,12.25,1876,9704.35,4740.55
-86.98,-8.86,-64.11,12.96,1876,6660.82,3605.56
-89.21,-9.14,-66.03,11.18,1876,6232.33,3716.01
-87.72,-9.03,-64.54,12.56,1876,5347.46,2390.61
-87.79,-9.33,-64.4,11.12,1876,7707.37,5543.31
-89.74,-9.31,-66.36,10.15,1876,6498.46,6375.6
-91.96,-8.88,-69.03,9.26,1876,6332.53,5479.34
-91.31,-9.09,-68.19,9.8,1876,6371.28,5176.58
-90.46,-9.24,-67.15,10.94,1876,5730.37,5439.53
-90.71,-9.15,-67.54,10.52,1876,7090.66,6140.54
-90.22,-9.37,-66.81,10.13,1876,7012.23,6571.96
-87.29,-8.87,-64.34,13.85,1876,9118.91,8261.17
-88.82,-9.14,-65.6,12.62,1876,10467.52,9386.54
-88.01,-9,-64.96,12.94,1876,12202.52,10898.35
-89.76,-8.92,-66.79,10.14,1876,7373.06,5524.24
-87.67,-8.98,-64.58,12.49,1876,7112.25,7297.53
-89.47,-8.99,-66.41,10.61,1876,8401.39,6824.61
-90.46,-9.16,-67.25,9.92,1876,7480.94,6619.53
-90.94,-9.7,-67.23,9.78,1876,7741.49,6749.11
-91.86,-10.04,-67.8,8.98,1876,8064.24,7055.55
-91.64,-9.18,-68.44,10.15,1876,6916.64,3140.08
-91.07,-9.26,-67.8,9.44,1876,6613.62,3312.34
-88.94,-9.47,-65.45,11.35,1876,7285.46,4119.6
-90.25,-9.83,-66.36,10.95,1876,7402.03,3211.46
-90.82,-9.71,-67.07,10.12,1876,6916.66,2294.35
-91.56,-9.12,-68.24,10.03,1876,5221,1869.5
-90.85,-9.23,-67.51,9.71,1876,6408.44,2596.42
-89.34,-8.91,-66.4,11.19,1876,6376.47,2501.05
-86.35,-8.99,-63.15,13.04,1876,6627.75,3081.42
-89.09,-9.02,-65.91,10.93,1876,7472.68,3299.8
-89.9,-9.29,-66.57,10.54,1876,8563.99,4469.76
-86.21,-8.86,-63.17,14.28,1876,7128.73,4251.04
-83.78,-8.99,-60.66,16.06,1876,10408.66,6013.6
-84.08,-8.78,-61.09,16.49,1876,10208.7,5446.59
-89.84,-8.97,-66.74,10.99,1876,8828.27,6377.32
-92.49,-9.4,-69.04,8.13,1876,6452.46,5393.37
-91.14,-8.84,-68.21,10.74,1876,7109.22,5945.67
-90.35,-9,-67.23,10.12,1876,6756.24,3001.52
-90.49,-9.46,-66.83,9.52,1876,4522.25,1777.59
-87.47,-9.1,-64.31,13.5,1876,6259.82,1650.16
-86.22,-9,-63.06,12.61,1876,7410.96,5077.62
-87.04,-9.36,-63.48,8.57,1876,5537.98,2500.49
-83.94,-8.9,-60.91,14.37,1876,6229.68,3026.22
-86.64,-8.99,-63.59,10.83,1876,7796.69,2528.15
-83.47,-8.93,-60.36,12.14,1876,7459.6,3334.9
-81.74,-8.65,-59.05,13.31,1876,7451.66,4416.93
-80.8,-8.82,-57.89,15.03,1876,10087.13,8486.86
-81.14,-8.68,-58.42,14.24,1876,10975.24,9288.42
-83.17,-9.2,-59.93,13.72,1876,8679.03,7585.13
-81.16,-9.07,-58.03,15.4,1876,10561.04,8385.16
-76.63,-8.67,-53.75,18.98,1876,8976.67,4852.33
-75.22,-8.79,-52.19,19.33,1876,12912.47,6243.27
-77.13,-8.95,-54.14,19.55,1876,11879.26,6265.49
-75.03,-8.85,-51.85,21.18,1876,16225.15,9181.49
-74.42,-9.23,-51.1,21.54,1876,16064.5,7045.59
-77.16,-9.04,-54.07,19.37,1876,12407.21,5833.75
-77.99,-9.01,-54.93,19.8,1876,13796.97,6921.14
-79.69,-8.76,-56.87,18.86,1876,12616.15,7195.43
-78.9,-8.7,-56.14,19.47,1876,13410,7139.15
-80.14,-8.87,-57.21,19.49,1876,11292.53,6522.29
-78.75,-8.36,-56.3,20.58,1876,12323.49,5768.19
-79.2,-8.51,-56.5,20.42,1876,13060.85,7797.64
-76.43,-8.92,-53.34,22.06,1876,12032.03,5956.56
-76.72,-8.6,-53.83,19.68,1876,12298.51,6305.27
-76.48,-8.93,-53.45,20.07,1876,11157.65,5986.67
-82.46,-9.04,-59.34,15.19,1876,10426.24,4894.7
-84.02,-8.72,-61.18,14.51,1876,8245.13,3851.07
-88.04,-9.01,-64.81,11.99,1876,6421.07,3189.71
-92.02,-9.34,-68.51,8.34,1876,4747.55,2272.3
-92.5,-9.37,-68.99,8,1876,4561.06,2184.07
-89.92,-9.06,-66.73,9.76,1876,5163.11,2757.16
-87.31,-8.66,-64.53,12.69,1876,6042.76,3054.39
-87.92,-8.99,-64.85,11.56,1876,6652.62,3082
-88.13,-9.11,-64.97,11.05,1876,6462.62,3103.53
-85.77,-9.05,-62.66,12.66,1876,7283.14,3112.52
-90.17,-9.49,-66.54,10.2,1876,6097.08,2375.36
-94.08,-9.44,-70.5,6.89,1876,4667.51,2836.04
-90.39,-8.97,-67.35,10.5,1876,6636.43,5899.42
-92.76,-9,-69.61,8.03,1876,5410.07,5008.82
-91.85,-8.64,-69.1,8.02,1876,5981.7,4533.84
-92.87,-8.94,-69.74,8.46,1876,5087.08,2703.15
-90.99,-9.03,-67.85,9.92,1876,5566.04,2608.04
-89.8,-9.16,-66.49,10.13,1876,5304.36,2533.23
-91.41,-9.48,-67.77,9.68,1876,5535.78,3015.29
-90.33,-9.09,-67.18,9.75,1876,5983.4,4015.92
-91.93,-9.3,-68.49,9.24,1876,7128.96,6586.34
-91.61,-9.04,-68.4,8.95,1876,6675.95,5311.35
-89.68,-9.2,-66.41,8.95,1876,6148.96,5294.04
-92.73,-9.71,-68.87,7.68,1876,6010.82,5256.34
-90.08,-9.24,-66.76,9.94,1876,5383.7,3218.61
-88.83,-9.46,-65.32,10.39,1876,6483.34,3024.55
-89.15,-9.33,-65.75,10.59,1876,7849.27,4404.44
-89.99,-9.23,-66.67,9.77,1876,6416.96,4666.7
-89.5,-8.93,-66.46,10.17,1876,6557.96,4610.45
-91.44,-9.31,-68.09,8.44,1876,5229.06,2965.68
-93.83,-9.65,-70.09,6.55,1876,5152.14,3920.52
-92.61,-9.26,-69.3,7.87,1876,3556.17,1411.41
-95.02,-9.52,-71.28,5.7,1876,4277.58,1831.91
-94.36,-9.5,-70.63,6.31,1876,3607.15,1392.64
-94.97,-9.44,-71.36,5.61,1876,3698.31,1881.88
-96.8,-10.15,-72.56,3.69,1876,3663.49,3093.01
-98.68,-10.41,-74.13,1.88,1876,2353.6,1372.24
-95.8,-6.04,-75.46,4.03,1876,188.57,0
-97.47,-7.29,-75.98,2.78,1876,196.8,4.01
-100.38,-9.35,-76.81,0.62,1876,1602.4,323.07
-102.77,-11.18,-77.39,-1.67,1876,1767.31,1477.15
-102.5,-11.87,-76.45,-0.39,1876,1281.51,840.66
-101.4,-10.36,-76.93,0.51,1876,1796.47,1396.25
-101.59,-10.81,-76.69,1.34,1876,2842.22,2492.7
-102.48,-10.47,-77.79,1.07,1876,2195.01,1677.03
-103.38,-11.32,-78.01,0.83,1876,2722.55,2066.24
-102,-10.58,-77.27,1.64,1876,2009.72,1753.48
-100.92,-10.59,-76.03,3.01,1876,2904.54,2354.08
-100.23,-10.07,-76.13,2.97,1876,3041.39,2609.12
-101.85,-10.78,-77.01,1.4,1876,2795.92,2057.57
-101.71,-10,-77.63,1.76,1876,2240.87,1581.1
-100.68,-10,-76.49,2.79,1876,2884.39,2377.17
-101.91,-10.95,-76.83,1.02,1876,2683.54,1880.96
-101.42,-10.06,-77.17,1.42,1876,2189.97,1511.66
-99.78,-10.41,-75.28,2.4,1876,2407.11,1950.26
-97.74,-9.4,-74.1,3.48,1876,3048.8,2600.13
-95.76,-9.12,-72.48,5.24,1876,3261.78,3145.93
-91.38,-8.66,-68.53,8.34,1876,4745.18,4696.61
-88.4,-8.85,-65.42,10.03,1876,6987.47,6552
-91.88,-10.41,-67.35,5.11,1876,6140.28,3762.52
-93.86,-9.28,-70.49,5.48,1876,4310.46,3730.08
-91.44,-9.06,-68.27,6.17,1876,4059.74,4293.88
-90.34,-8.71,-67.49,7.59,1876,6365.33,4800.5
-91.35,-9.07,-68.07,5.91,1876,4686.02,4548.02
-91.92,-9.49,-68.25,5.31,1876,5334.96,4039.29
-93.12,-10.02,-68.75,2.91,1876,4167.91,2250.14
-92.32,-9.73,-67.85,3.28,1876,3371.12,2743.81
-92.93,-9.99,-67.93,2.28,1876,3335.21,2330.88
-93.62,-10.01,-69.43,2.8,1876,3111.6,2723.27
-92.42,-9.7,-67.94,3.57,1876,3255.33,2976.81
-91.83,-10.57,-65.75,3.24,1876,3855.73,3635.08
-92.45,-9.78,-67.21,3.28,1876,4165,3277.26
-91.61,-9.91,-67.08,3.45,1876,3838.14,3742.1
-92.27,-10.61,-66.27,1.07,1876,3949.07,2725
-91.3,-10.46,-66.11,3.2,1876,3067.77,2634.03
-92.32,-9.44,-68.47,3.59,1876,3641.31,2962.09
-93.04,-9.39,-69.54,4,1876,5153.79,3760.54
-92.53,-9.62,-68.91,4.28,1876,3368.17,3396.22
-91.71,-9.75,-67.95,6.25,1876,5043.24,4648.3
-92.07,-9.17,-68.8,6.56,1876,5711.45,5131.54
-92.75,-9.2,-69.47,7.5,1876,5580.68,5147.19
-92.71,-9.02,-69.5,7.82,1876,6608.87,5591.71
-95.69,-8.68,-72.93,5.23,1876,5281.24,3959.07
-94.85,-8.61,-72,7.08,1876,4740.8,4157.05
-93.63,-9.46,-70.04,7.26,1876,5168.73,4522.87
-92.3,-8.25,-69.93,8.29,1876,4931.81,4443.67
-93.22,-9.24,-69.93,7.22,1876,5515.99,4889.76
-91.55,-8.71,-68.62,9.19,1876,4234.85,4522.87
-90.38,-8.98,-67.31,10.77,1876,6992.62,5574.65
-91,-9,-67.91,10.05,1876,7525.16,6774.69
-92.36,-8.54,-69.66,9.35,1876,7801.72,6097.04
-91.42,-8.67,-68.57,8.88,1876,7422.54,6701.58
-92.57,-8.69,-69.7,7.96,1876,6660.61,5592.33
-92.52,-8.49,-69.99,7.45,1876,7045.89,6038.94
