RSRP,RSRQ,RSSI,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-67.84,-9.42,-44.21,10241.18,7219.21
-67.84,-9.42,-44.21,10241.18,7219.21
-68.42,-9.56,-44.75,8867.63,8603.29
-68.42,-9.56,-44.75,8867.63,8603.29
-67.37,-9.47,-43.8,10010.5,8753.86
-67.37,-9.47,-43.8,10010.5,8753.86
-71.01,-9.91,-46.76,9304.56,6277.52
-71.01,-9.91,-46.76,9304.56,6277.52
-70.0,-9.03,-46.66,6873.0,5750.22
-70.0,-9.03,-46.66,6873.0,5750.22
-72.2,-9.5,-48.24,6475.89,4833.91
-72.2,-9.5,-48.24,6475.89,4833.91
-71.45,-9.73,-47.36,4895.5,3355.23
-71.45,-9.73,-47.36,4895.5,3355.23
-71.7,-9.16,-48.08,5436.9,5265.36
-71.7,-9.16,-48.08,5436.9,5265.36
-70.68,-9.13,-47.28,8042.96,6351.04
-70.68,-9.13,-47.28,8042.96,6351.04
-70.69,-9.26,-47.06,7137.6,2757.47
-70.69,-9.26,-47.06,7137.6,2757.47
-71.07,-9.08,-47.61,7403.85,6253.09
-71.07,-9.08,-47.61,7403.85,6253.09
-71.11,-9.37,-47.28,9118.66,7602.11
-71.11,-9.37,-47.28,9118.66,7602.11
-70.88,-9.04,-47.47,9429.4,8083.08
-70.88,-9.04,-47.47,9429.4,8083.08
-71.01,-9.38,-47.48,9617.6,5841.28
-71.01,-9.38,-47.48,9617.6,5841.28
-69.48,-9.16,-46.11,7679.36,4449.29
-69.48,-9.16,-46.11,7679.36,4449.29
-70.6,-9.5,-46.91,7615.53,4008.7
-70.6,-9.5,-46.91,7615.53,4008.7
-73.07,-9.77,-48.97,7517.56,3182.41
-73.07,-9.77,-48.97,7517.56,3182.41
-72.2,-9.1,-48.68,8259.77,5615.06
-72.2,-9.1,-48.68,8259.77,5615.06
-70.06,-9.29,-46.6,8234.84,6936.35
-70.06,-9.29,-46.6,8234.84,6936.35
-70.98,-9.26,-47.59,8333.51,6710.47
-70.98,-9.26,-47.59,8333.51,6710.47
-72.31,-9.77,-48.34,7613.15,6468.65
-72.31,-9.77,-48.34,7613.15,6468.65
-71.38,-9.39,-47.81,9452.97,7790.16
-71.38,-9.39,-47.81,9452.97,7790.16
-71.77,-9.57,-48.0,8289.79,6756.64
-71.77,-9.57,-48.0,8289.79,6756.64
-72.98,-9.69,-48.91,7980.69,6856.12
-72.98,-9.69,-48.91,7980.69,6856.12
-73.68,-9.98,-49.5,8377.48,6875.14
-73.68,-9.98,-49.5,8377.48,6875.14
-73.5,-10.27,-49.08,8606.7,6482.84
-73.5,-10.27,-49.08,8606.7,6482.84
-72.3,-9.8,-48.33,7635.12,5840.06
-72.3,-9.8,-48.33,7635.12,5840.06
-72.56,-9.64,-48.66,8862.96,7025.01
-72.56,-9.64,-48.66,8862.96,7025.01
-71.88,-9.79,-47.83,8852.2,6111.94
-71.88,-9.79,-47.83,8852.2,6111.94
-71.56,-9.36,-48.1,7486.33,6141.63
-71.56,-9.36,-48.1,7486.33,6141.63
-72.21,-9.41,-48.44,8029.75,7492.08
-72.21,-9.41,-48.44,8029.75,7492.08
-71.31,-9.42,-47.82,8350.67,6792.01
-71.31,-9.42,-47.82,8350.67,6792.01
-70.84,-9.51,-47.12,8599.58,7483.61
-70.84,-9.51,-47.12,8599.58,7483.61
-71.57,-9.71,-47.68,8535.41,5493.51
-71.57,-9.71,-47.68,8535.41,5493.51
-70.62,-9.66,-46.81,9073.96,7570.55
-70.62,-9.66,-46.81,9073.96,7570.55
-71.76,-9.37,-48.22,9268.88,7640.28
-71.76,-9.37,-48.22,9268.88,7640.28
-70.33,-9.17,-47.02,8633.52,7682.67
-70.33,-9.17,-47.02,8633.52,7682.67
