RSRP,RSRQ,RSSI,PCC_SINR,PCC_PHY_Thruput_DL,PDCP_Thruput_DL
-99.72,-9.94,-75.76,3.03,4235.43,3714.62
-99.72,-9.94,-75.76,3.03,4235.43,3714.62
-99.72,-9.94,-75.76,3.03,4235.43,3714.62
-99.72,-9.94,-75.76,3.03,4235.43,3714.62
-100.07,-9.93,-76.1,3.47,4498.39,4016.49
-100.07,-9.93,-76.1,3.47,4498.39,4016.49
-100.07,-9.93,-76.1,3.47,4498.39,4016.49
-100.07,-9.93,-76.1,3.47,4498.39,4016.49
-100.02,-9.93,-76.04,3.31,4257.75,3838.4
-100.02,-9.93,-76.04,3.31,4257.75,3838.4
-100.02,-9.93,-76.04,3.31,4257.75,3838.4
-100.02,-9.93,-76.04,3.31,4257.75,3838.4
-99.1,-10.05,-74.94,4,4307.17,4072.97
-99.1,-10.05,-74.94,4,4307.17,4072.97
-99.1,-10.05,-74.94,4,4307.17,4072.97
-99.1,-10.05,-74.94,4,4307.17,4072.97
-98.76,-10.46,-74.22,3.73,4217.94,3721.43
-98.76,-10.46,-74.22,3.73,4217.94,3721.43
-98.76,-10.46,-74.22,3.73,4217.94,3721.43
-98.76,-10.46,-74.22,3.73,4217.94,3721.43
-100.19,-10.27,-75.86,3.12,3887.7,3462.36
-100.19,-10.27,-75.86,3.12,3887.7,3462.36
-100.19,-10.27,-75.86,3.12,3887.7,3462.36
-100.19,-10.27,-75.86,3.12,3887.7,3462.36
-99.63,-9.84,-75.51,3.57,4587.52,3975.09
-99.63,-9.84,-75.51,3.57,4587.52,3975.09
-99.63,-9.84,-75.51,3.57,4587.52,3975.09
-99.63,-9.84,-75.51,3.57,4587.52,3975.09
-99.35,-9.39,-75.64,5.12,4403.71,3854.23
-99.35,-9.39,-75.64,5.12,4403.71,3854.23
-99.35,-9.39,-75.64,5.12,4403.71,3854.23
-99.35,-9.39,-75.64,5.12,4403.71,3854.23
-100.87,-9.89,-76.54,3.66,3998.98,3353.18
-100.87,-9.89,-76.54,3.66,3998.98,3353.18
-100.87,-9.89,-76.54,3.66,3998.98,3353.18
-100.87,-9.89,-76.54,3.66,3998.98,3353.18
-98.98,-9.8,-74.74,4.28,2944.71,2631.7
-98.98,-9.8,-74.74,4.28,2944.71,2631.7
-98.98,-9.8,-74.74,4.28,2944.71,2631.7
-98.98,-9.8,-74.74,4.28,2944.71,2631.7
-99.67,-9.64,-75.41,3.33,3612.23,2956.67
-99.67,-9.64,-75.41,3.33,3612.23,2956.67
-99.67,-9.64,-75.41,3.33,3612.23,2956.67
-99.67,-9.64,-75.41,3.33,3612.23,2956.67
-95.74,-9.51,-71.96,8.12,5814.29,5285.39
-95.74,-9.51,-71.96,8.12,5814.29,5285.39
-95.74,-9.51,-71.96,8.12,5814.29,5285.39
-95.74,-9.51,-71.96,8.12,5814.29,5285.39
-97.78,-9.73,-73.78,7.02,5372.96,4833.96
-97.78,-9.73,-73.78,7.02,5372.96,4833.96
-97.78,-9.73,-73.78,7.02,5372.96,4833.96
-97.78,-9.73,-73.78,7.02,5372.96,4833.96
-99.68,-9.25,-76.26,5.34,5422.02,4513.28
-99.68,-9.25,-76.26,5.34,5422.02,4513.28
-99.68,-9.25,-76.26,5.34,5422.02,4513.28
-99.68,-9.25,-76.26,5.34,5422.02,4513.28
-98.72,-9.59,-74.87,4.97,4501.79,3950.11
-98.72,-9.59,-74.87,4.97,4501.79,3950.11
-98.72,-9.59,-74.87,4.97,4501.79,3950.11
-98.72,-9.59,-74.87,4.97,4501.79,3950.11
-100.69,-9.61,-76.74,4.34,4772.98,4323.42
-100.69,-9.61,-76.74,4.34,4772.98,4323.42
-100.69,-9.61,-76.74,4.34,4772.98,4323.42
-100.69,-9.61,-76.74,4.34,4772.98,4323.42
-101.8,-10.37,-76.98,1.87,2938.57,2321.06
-101.8,-10.37,-76.98,1.87,2938.57,2321.06
-101.8,-10.37,-76.98,1.87,2938.57,2321.06
-101.8,-10.37,-76.98,1.87,2938.57,2321.06
-102.32,-10.86,-76.77,0.58,1996.79,1703.75
-102.32,-10.86,-76.77,0.58,1996.79,1703.75
-102.32,-10.86,-76.77,0.58,1996.79,1703.75
-102.32,-10.86,-76.77,0.58,1996.79,1703.75
-103.06,-10.64,-77.88,1.19,2238.16,1839.94
-103.06,-10.64,-77.88,1.19,2238.16,1839.94
-103.06,-10.64,-77.88,1.19,2238.16,1839.94
-103.06,-10.64,-77.88,1.19,2238.16,1839.94
-102.82,-10.6,-78.06,0.81,2475.53,1990.07
-102.82,-10.6,-78.06,0.81,2475.53,1990.07
-102.82,-10.6,-78.06,0.81,2475.53,1990.07
-102.82,-10.6,-78.06,0.81,2475.53,1990.07
-102.22,-9.75,-77.98,2.72,2268.1,1928.08
-102.22,-9.75,-77.98,2.72,2268.1,1928.08
-102.22,-9.75,-77.98,2.72,2268.1,1928.08
-102.22,-9.75,-77.98,2.72,2268.1,1928.08
-99.17,-9.21,-75.86,5.44,3721.76,3280.83
-99.17,-9.21,-75.86,5.44,3721.76,3280.83
-99.17,-9.21,-75.86,5.44,3721.76,3280.83
-99.17,-9.21,-75.86,5.44,3721.76,3280.83
-98.16,-9.74,-74.3,4.71,5103.67,4368.41
-98.16,-9.74,-74.3,4.71,5103.67,4368.41
-98.16,-9.74,-74.3,4.71,5103.67,4368.41
-98.16,-9.74,-74.3,4.71,5103.67,4368.41
-102.17,-9.94,-77.78,2.57,3218.08,2877.62
-102.17,-9.94,-77.78,2.57,3218.08,2877.62
